,Class,Lipid,"log2 Fold-Change, brain region 1","log2 Fold-Change, brain region 2",color
414,PC O-,PC O-38:7,-0.134917957414064,-0.232625763524563,#bfef45
415,PC O-,PC O-38:7,-0.110098746214376,-0.0854112202282025,#bfef45
416,PC,PC 36:0,0.0475110143569992,-0.182014594581858,#f032e6
418,PC O-,PC O-39:10,-0.236752625868832,-0.356355263985954,#bfef45
419,PE O-,PE O-42:10,-0.233536840488682,-0.0392305056855484,#e6beff
420,SM,SM 41:2;O2,0.216408876949547,0.0674473700812506,green
421,PC O-,PC O-39:9,0.367302659095046,0.0261877884717592,#bfef45
422,PC O-,PC O-39:9,0.00710002505655893,-0.182434382918654,#bfef45
423,PC O-,PC O-39:9,-0.0692419404908584,0.0350949966499385,#bfef45
424,PC O-,PC O-38:2,0.836734784515592,-0.0744509896253689,#bfef45
425,PC O-,PC O-39:8,0.177350114546922,-0.0859300413001058,#bfef45
426,PC O-,PC O-39:8|PC O-18:4_21:4,-0.166774087128033,-0.0705157950617412,#bfef45
427,PE,PE 41:6,-0.0792144233139638,0.0236365115223087,#4363d8
428,HexCer,HexCer 42:3;O2|HexCer 18:1;O2/24:2,0.134645163613612,0.0850928047232138,#fabebe
429,HexCer,HexCer 42:3;O2|HexCer 18:2;O2/24:1,-0.0414341381232148,0.18339489764271,#fabebe
430,HexCer,HexCer 42:3;O2|HexCer 18:1;O2/24:2,0.144267649653859,0.0793059386182122,#fabebe
431,HexCer,HexCer 42:2;O2|HexCer 18:1;O2/24:1,0.0399758356507611,-0.0698849536178336,#fabebe
432,HexCer,HexCer 42:2;O2|HexCer 18:1;O2/24:1,-0.462725332613346,0.0129159991949628,#fabebe
433,HexCer,HexCer 42:2;O2|HexCer 18:1;O2/24:1,0.327957679017874,0.0881387781509773,#fabebe
434,HexCer,HexCer 42:2;O2|HexCer 18:1;O2/24:1,0.311655128346157,-0.02247981656026,#fabebe
435,PC,PC 39:10,-0.131175114918861,0.0307563135918052,#f032e6
436,HexCer,HexCer 41:2;O3,0.0779464560258347,0.20854365454657,#fabebe
437,HexCer,HexCer 42:1;O2|HexCer 18:1;O2/24:0,0.184630199252158,-0.200391997911552,#fabebe
438,PC,PC 39:9,-0.151624193380375,0.00467272525257911,#f032e6
439,PC,PC 38:1,0.201144602891471,-0.0783977258439421,#f032e6
440,PC,PC 38:1,0.167696376151568,-0.0427603819673763,#f032e6
441,PC O-,PC O-40:6,-0.181628467085552,-0.14237722437904,#bfef45
442,PC O-,PC O-40:6,0.0462441255278954,0.197386720052339,#bfef45
443,PC O-,PC O-41:11,-0.392626503218203,0.329417942685968,#bfef45
444,PC O-,PC O-41:11,-0.125820440867738,0.0620845768067362,#bfef45
445,HexCer,HexCer 43:2;O2|HexCer 18:1;O2/25:1,-0.609593111014558,0.0602624239989566,#fabebe
446,HexCer,HexCer 42:2;O3|HexCer 18:1;O2/24:1;O,0.164587504637151,0.081426540305344,#fabebe
447,PC O-,PC O-41:6,0.00961687090276087,0.266306694060113,#bfef45
448,PC,PC 41:11,-0.0411439147672397,0.176328800690708,#f032e6
449,PC,PC 41:10,-0.222226351565617,-0.00485642298122713,#f032e6
450,PE,PE 44:10,-0.135466356987479,-0.0865732174590867,#4363d8
451,PC O-,PC O-42:7,0.109602152065111,0.317842334222387,#bfef45
452,PC O-,PC O-42:6,0.176023495688156,0.0458572943387807,#bfef45
456,PC,PC 42:5,0.168439250812366,-0.0327632717552504,#f032e6
457,PC,PC 42:5,-0.0333228810740991,-0.0408662462765434,#f032e6
458,PC,PC 42:4,0.00146899801017852,-0.056149531797594,#f032e6
459,PC,PC 42:3,0.543698484460322,-0.0415341184580669,#f032e6
460,PC,PC 42:2,0.277615331047372,0.0347193747431511,#f032e6
461,TG,TG 52:5|TG 16:0_18:2_18:3,-0.0934843672533532,0.299526137554118,orange
462,PC,PC 43:5,0.212268459574929,0.0842478630745376,#f032e6
465,PC,PC 44:8,0.0555279541013043,-0.134892369521715,#f032e6
467,TG,TG 54:6|TG 16:0_16:0_22:6,-0.0544730459088818,0.0940559599535824,orange
468,PC O-,PC O-47:10,-0.0490825401562454,-0.336040301896034,#bfef45
469,SHexCer,SHexCer 43:4;3O|SHexCer 15:1;O2/28:3;O,0.105545854900498,-0.0809035779414948,#469990
470,TG,TG 56:8|TG 16:0_18:2_22:6,0.0978506053877126,0.179846353970976,orange
471,TG,TG 56:7|TG 16:0_18:1_22:6,-0.0927353635577894,0.135233514284938,orange
472,TG,TG 56:6|TG 16:0_18:0_22:6,-0.109545640944724,0.096294704811136,orange
473,TG,TG 56:5|TG 16:0_18:1_22:4,-0.0920086410084657,0.0870551160653505,orange
474,TG,TG 58:9|TG 18:1_20:3_20:5,-0.0565294088184878,0.206366950079602,orange
475,TG,TG 58:8|TG 18:1_18:1_22:6,0.187156334666199,0.145839632283831,orange
476,TG,TG 58:6|TG 18:0_18:0_22:6,-0.0989309412742756,0.0225827790565809,orange
477,TG,TG 60:12|TG 16:0_22:6_22:6,-0.0581120337567178,0.184075639198767,orange
478,TG,TG O-61:12|TG O-17:0_22:6_22:6,0.00468233577232979,0.169081194258734,orange
479,TG,TG 62:13|TG 18:1_22:6_22:6,-0.0252369144848679,0.233101401141766,orange
480,TG,TG 62:12|TG 18:0_22:6_22:6,-0.0869523343405945,0.182070582847498,orange
481,PC,PC 52:4,-0.186308393825275,0.250610391489715,#f032e6
482,PC,PC 56:6,-0.250420398322987,0.301618739489971,#f032e6
483,PC,PC 58:11,-0.191342676652706,-0.101496262296269,#f032e6
484,PC,PC 58:9,0.128760020359241,0.601211121181141,#f032e6
485,PC,PC 62:12,0.0581455133163651,0.233682511862835,#f032e6
488,ST,ST 27:2;O,0.287399724585271,0.0248519250497878,black
489,ST,ST 27:1;O,0.068931282585158,0.0608249249537813,black
490,CAR,CAR 14:0,-0.0291885271060579,-0.231538796524653,#aaffc3
491,ST,ST 29:2;O,0.0500456577661375,-0.118317342183591,black
492,CAR,CAR 16:1,-0.0425363542681545,-0.14174969722913,#aaffc3
493,CAR,CAR 16:0,0.0389220883941306,-0.0989624553978068,#aaffc3
495,CAR,CAR 18:2,-0.104334077892844,-0.395648053669984,#aaffc3
496,CAR,CAR 18:1,0.129047232906228,-0.0725161338629619,#aaffc3
497,CAR,CAR 18:0,-0.0670484861793668,-0.237665420350005,#aaffc3
